benchmark,board_model,runtime_backend,execution_mode,input_source,input_shape,warmup_count,repeat_count,batch_size,p50_latency_ms,p95_latency_ms,peak_rss_mb,model_file_size_bytes
fixed-shape,Orange Pi AI Pro 20T 24G,torchscript,CPU,fixed,1x3x512,50,200,1,622.7826460017241,669.9135048489552,255.24609375,6078508
prepared-windows,Orange Pi AI Pro 20T 24G,torchscript,CPU,npz,1x3x512,50,200,1,619.1889325054944,670.9230391599704,255.953125,6078508
