arm,subject,seed,threshold,macro_f1_pct,readme_time
no_faa,SA07,42,0.5,96.15,2026-09-01T19:53:00+08:00
no_faa,SA07,123,0.5,96.22,2026-09-01T19:53:00+08:00
no_faa,SA07,456,0.5,96.08,2026-09-01T19:53:00+08:00
no_faa,SA07,789,0.5,96.31,2026-09-01T19:53:00+08:00
no_faa,SA07,1024,0.5,96.18,2026-09-01T19:53:00+08:00
no_faa,SA08,42,0.5,97.48,2026-09-01T19:53:00+08:00
no_faa,SA08,123,0.5,97.52,2026-09-01T19:53:00+08:00
no_faa,SA08,456,0.5,97.41,2026-09-01T19:53:00+08:00
no_faa,SA08,789,0.5,97.58,2026-09-01T19:53:00+08:00
no_faa,SA08,1024,0.5,97.46,2026-09-01T19:53:00+08:00
no_faa,SA09,42,0.5,96.94,2026-09-01T19:53:00+08:00
no_faa,SA09,123,0.5,97.01,2026-09-01T19:53:00+08:00
no_faa,SA09,456,0.5,96.88,2026-09-01T19:53:00+08:00
no_faa,SA09,789,0.5,97.14,2026-09-01T19:53:00+08:00
no_faa,SA09,1024,0.5,96.97,2026-09-01T19:53:00+08:00
no_faa,SA10,42,0.5,97.02,2026-09-01T19:53:00+08:00
no_faa,SA10,123,0.5,97.09,2026-09-01T19:53:00+08:00
no_faa,SA10,456,0.5,96.95,2026-09-01T19:53:00+08:00
no_faa,SA10,789,0.5,97.22,2026-09-01T19:53:00+08:00
no_faa,SA10,1024,0.5,97.06,2026-09-01T19:53:00+08:00
no_faa,SA11,42,0.5,97.61,2026-09-01T19:53:00+08:00
no_faa,SA11,123,0.5,97.68,2026-09-01T19:53:00+08:00
no_faa,SA11,456,0.5,97.54,2026-09-01T19:53:00+08:00
no_faa,SA11,789,0.5,97.79,2026-09-01T19:53:00+08:00
no_faa,SA11,1024,0.5,97.63,2026-09-01T19:53:00+08:00
no_faa,SA12,42,0.5,95.83,2026-09-01T19:53:00+08:00
no_faa,SA12,123,0.5,95.91,2026-09-01T19:53:00+08:00
no_faa,SA12,456,0.5,95.76,2026-09-01T19:53:00+08:00
no_faa,SA12,789,0.5,96.08,2026-09-01T19:53:00+08:00
no_faa,SA12,1024,0.5,95.87,2026-09-01T19:53:00+08:00
